Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
India,2022-03-02,1659.9094
India,2022-03-03,1651.0475
India,2022-03-04,1551.8829
India,2022-03-05,1456.3545
India,2022-03-06,1415.188
India,2022-03-07,1416.9707
India,2022-03-08,1491.1545
India,2022-03-09,1530.0203
India,2022-03-10,1402.9669
India,2022-03-11,1416.726
India,2022-03-12,1259.0114
India,2022-03-13,1290.313
India,2022-03-14,1322.7635
India,2022-03-15,1264.8107
India,2022-03-16,1251.3169
India,2022-03-17,1259.9376
India,2022-03-18,1103.6532
India,2022-03-19,1108.5544
India,2022-03-20,1068.8082
India,2022-03-21,1139.3003
India,2022-03-22,1229.3594
India,2022-03-23,1460.0713
India,2022-03-24,1628.9227
India,2022-03-25,1707.3765
India,2022-03-26,1985.6217
India,2022-03-27,2000.7101
India,2022-03-28,1919.8815
India,2022-03-29,1810.0747
India,2022-03-30,1798.5168
India,2022-03-31,1771.736
India,2022-04-01,1708.5787
India,2022-04-02,1428.9124
India,2022-04-03,1445.5999
India,2022-04-04,1399.1663
India,2022-04-05,1423.0145
India,2022-04-06,1240.3007
India,2022-04-07,1054.8845
India,2022-04-08,1049.2535
India,2022-04-09,1091.3256
India,2022-04-10,1051.8771
India,2022-04-11,1033.0026
India,2022-04-12,1088.4508
India,2022-04-13,972.7252
India,2022-04-14,960.3589
India,2022-04-15,871.1039
India,2022-04-16,807.9417
India,2022-04-17,826.3001
India,2022-04-18,824.0846
India,2022-04-19,818.8933
India,2022-04-20,789.18774
India,2022-04-21,815.10095
India,2022-04-22,969.30963
India,2022-04-23,1053.1813
India,2022-04-24,1137.053
India,2022-04-25,1121.5513
India,2022-04-26,1146.5618
India,2022-04-27,1299.9059
India,2022-04-28,1352.1162
India,2022-04-29,1486.5686
India,2022-04-30,1471.126
India,2022-05-01,1511.3766
India,2022-05-02,1508.4271
India,2022-05-03,1418.284
India,2022-05-04,1267.9368
India,2022-05-05,1208.2996
India,2022-05-06,1066.4583
India,2022-05-07,1090.912
India,2022-05-08,1049.9221
India,2022-05-09,1107.7809
India,2022-05-10,1117.0165
India,2022-05-11,1201.5035
India,2022-05-12,1202.0658
India,2022-05-13,1170.8501
India,2022-05-14,1144.7896
India,2022-05-15,1099.7882
India,2022-05-16,1013.11206
India,2022-05-17,978.5077
India,2022-05-18,971.9726
India,2022-05-19,962.1458
India,2022-05-20,968.7634
India,2022-05-21,967.14386
India,2022-05-22,971.0984
India,2022-05-23,1016.6752
India,2022-05-24,1035.3282
India,2022-05-25,1023.7012
India,2022-05-26,1018.50604
India,2022-05-27,1012.39606
India,2022-05-28,1002.81793
India,2022-05-29,983.7075
India,2022-05-30,929.15265
India,2022-05-31,916.41626
India,2022-06-01,996.0188
India,2022-06-02,875.38245
India,2022-06-03,850.562
India,2022-06-04,823.6365
India,2022-06-05,808.78766
India,2022-06-06,813.1691
India,2022-06-07,818.93445
India,2022-06-08,761.27167
India,2022-06-09,901.65924
India,2022-06-10,935.103
India,2022-06-11,967.0513
India,2022-06-12,1005.03046
India,2022-06-13,1074.4615
India,2022-06-14,1091.3816
India,2022-06-15,1077.5958
India,2022-06-16,1075.379
India,2022-06-17,1077.9431
India,2022-06-18,1077.9492
India,2022-06-19,1053.0796
India,2022-06-20,983.49097
India,2022-06-21,967.5193
India,2022-06-22,953.18005
India,2022-06-23,950.0144
India,2022-06-24,935.6464
India,2022-06-25,942.4194
India,2022-06-26,937.47345
India,2022-06-27,949.2525
India,2022-06-28,995.2625
India,2022-06-29,1004.80414
India,2022-06-30,992.3189
India,2022-07-01,961.07697
India,2022-07-02,896.6421
India,2022-07-03,871.7493
India,2022-07-04,846.70795
India,2022-07-05,777.2348
India,2022-07-06,737.93024
India,2022-07-07,726.1675
India,2022-07-08,778.1282
India,2022-07-09,802.0565
India,2022-07-10,837.5791
India,2022-07-11,908.70734
India,2022-07-12,910.06256
India,2022-07-13,1007.75446
India,2022-07-14,1161.504
India,2022-07-15,1265.8849
India,2022-07-16,1304.0209
India,2022-07-17,1342.1569
India,2022-07-18,1401.3695
India,2022-07-19,1471.9453
India,2022-07-20,1546.5121
India,2022-07-21,1575.9965
India,2022-07-22,1680.3278
India,2022-07-23,1885.1875
India,2022-07-24,2014.7493
India,2022-07-25,2038.1763
India,2022-07-26,2165.7908
India,2022-07-27,2201.3972
India,2022-07-28,2309.197
India,2022-07-29,2297.3965
